FIRST_NAME,LAST_NAME,TEAMS
George,Boucher,"Ottawa Senators (1917), Montreal Maroons, Chicago Blackhawks"
Morley,Bruce,Ottawa Senators (1917)
Rusty,Crawford,"Ottawa Senators (1917), Toronto Arenas"
Jack,Darragh,Ottawa Senators (1917)
Cy,Denneny,"Ottawa Senators (1917), Boston Bruins"
Eddie,Gerard,"Ottawa Senators (1917), Toronto St. Patricks"
Harry,Hyland,"Ottawa Senators (1917), Montreal Wanderers"
Ed,Lowrey,Ottawa Senators (1917)
Horace,Merrill,Ottawa Senators (1917)
Frank,Nighbor,"Ottawa Senators (1917), Toronto Maple Leafs"
Dave,Ritchie,"Ottawa Senators (1917), Montreal Wanderers, Toronto Arenas, Quebec Bulldogs, Montréal Canadiens"
Hamby,Shore,Ottawa Senators (1917)
Clint,Benedict,"Ottawa Senators (1917), Montreal Maroons"
Billy,Bell,"Montréal Canadiens, Montreal Wanderers, Ottawa Senators (1917)"
Louis,Berlinquette,"Montréal Canadiens, Montreal Maroons, Pittsburgh Pirates"
Bert,Corbeau,"Montréal Canadiens, Hamilton Tigers, Toronto St. Patricks"
Billy,Coutu,"Montréal Canadiens, Hamilton Tigers, Boston Bruins"
Joe,Hall,Montréal Canadiens
Newsy,Lalonde,"Montréal Canadiens, New York Americans"
Jack,Laviolette,Montréal Canadiens
Joe,Malone,"Montréal Canadiens, Quebec Bulldogs, Hamilton Tigers"
Jack,McDonald,"Montréal Canadiens, Montreal Wanderers, Quebec Bulldogs, Toronto St. Patricks"
Evariste,Payer,Montréal Canadiens
Didier,Pitre,Montréal Canadiens
Georges,Vezina,Montréal Canadiens
Jack,Adams,"Toronto Arenas, Toronto St. Patricks, Ottawa Senators (1917)"
Harry,Cameron,"Toronto Arenas, Ottawa Senators (1917), Montréal Canadiens, Toronto St. Patricks"
Jack,Coughlin,"Toronto Arenas, Montréal Canadiens, Quebec Bulldogs"
Corb,Denneny,"Toronto Arenas, Toronto St. Patricks, Hamilton Tigers, Chicago Blackhawks"
Jack,Marks,"Toronto Arenas, Montreal Wanderers, Quebec Bulldogs"
Harry,Meeking,"Toronto Arenas, Boston Bruins, Detroit Cougars"
Harry,Mummery,"Toronto Arenas, Quebec Bulldogs, Montréal Canadiens, Hamilton Tigers"
Reg,Noble,"Toronto Arenas, Toronto St. Patricks, Montreal Maroons, Detroit Cougars, Detroit Falcons, Detroit Red Wings"
Ken,Randall,"Toronto Arenas, Toronto St. Patricks, Hamilton Tigers, New York Americans"
Alf,Skinner,"Toronto Arenas, Boston Bruins, Montreal Maroons, Pittsburgh Pirates"
Art,Brooks,Toronto Arenas
Sammy,Hebert,"Toronto Arenas, Ottawa Senators (1917)"
Hap,Holmes,"Toronto Arenas, Detroit Cougars"
Gerry,Geran,"Montreal Wanderers, Boston Bruins"
